league	club	player	nationality	source
Spain	Deportivo	Rodriguez	Spain	fifa11
Spain	Deportivo	Perez	Spain	fifa11
Spain	Deportivo	Valeron	Spain	fifa11
Spain	Deportivo	Adrian	Spain	fifa11
Spain	Deportivo	Riki	Spain	fifa11
Spain	Deportivo	Manu	Spain	fifa11
Spain	Deportivo	Colotto	Argentina	fifa11
Spain	Deportivo	Michel	Spain	fifa11
Spain	Deportivo	Juca	Brazil	fifa11
Spain	Deportivo	Urreta	Uruguay	manual-audit
Spain	Deportivo	Desmarets	France	fifa11
Spain	Deportivo	Tomas	Spain	fifa11
Spain	Deportivo	Saul	Spain	fifa11
Spain	Deportivo	Lassad	Tunisia	fifa11
Spain	Levante	Munua	Uruguay	fifa11
Spain	Malaga	Gamez	Spain	fifa11
Spain	Malaga	Kris	Brazil	manual-audit
Spain	Malaga	Weligton	Brazil	fifa11
Spain	Malaga	Mtiliga	Denmark	fifa11
Spain	Malaga	Apono	Spain	fifa11
Spain	Malaga	Torres	Spain	fifa11
Spain	Malaga	Valdo	Spain	fifa11
Spain	Malaga	Lolo	Spain	fifa11
Spain	Malaga	Baha	Morocco	fifa11
Spain	Malaga	Silva	Brazil	fifa11
Spain	Malaga	Arnau	Spain	fifa11
Spain	Malaga	Rondon	Venezuela	fifa11
Spain	Malaga	Eliseu	Portugal	fifa11
Spain	Malaga	Cuadrado	Spain	fifa11
Spain	Malaga	Quincy	Ghana	manual-audit
Spain	Malaga	Fernando	Spain	fifa11
Spain	Malaga	Juanito	Spain	fifa11
Spain	Malaga	Fernandez	Netherlands	fifa11
Spain	Malaga	Pablo	Spain	fifa11
Spain	Mallorca	Aouate	Israel	fifa11
Spain	Mallorca	Ximo	Brazil	fifa11
Spain	Mallorca	Ramis	Spain	fifa11
Spain	Mallorca	Nunes	Portugal	fifa11
Spain	Mallorca	Josemi	Spain	manual-audit
Spain	Mallorca	Marti	Spain	fifa11
Spain	Mallorca	Ayoze	Spain	fifa11
Spain	Mallorca	Castro	Uruguay	fifa11
Spain	Mallorca	Webo	Cameroon	fifa11
Spain	Mallorca	Cavenaghi	Argentina	fifa11
Spain	Mallorca	Corrales	Spain	fifa11
Spain	Mallorca	Lux	Argentina	fifa11
Spain	Mallorca	Nadal	Spain	fifa11
Spain	Mallorca	Alvarez	Honduras	fifa11
Spain	Mallorca	K. Garcia	Argentina	fifa11
Spain	Mallorca	Tuni	Spain	fifa11
Spain	Mallorca	De Guzman	Netherlands	fifa11
Spain	Mallorca	Victor	Spain	fifa11
Spain	Mallorca	Nsue	Spain	fifa11
Spain	Mallorca	Varela	Portugal	fifa11
Spain	Espanyol	Kameni	Cameroon	fifa11
Spain	Espanyol	J. Lopez	Spain	fifa11
Spain	Espanyol	Ruiz	Spain	fifa11
Spain	Espanyol	Forlin	Argentina	fifa11
Spain	Espanyol	Amat	Spain	fifa11
Spain	Espanyol	Baena	Spain	fifa11
Spain	Espanyol	J. Marquez	Spain	fifa11
Spain	Espanyol	Garcia	Spain	fifa11
Spain	Espanyol	S. Garcia	Spain	fifa11
Spain	Espanyol	Alonso	Uruguay	fifa11
Spain	Espanyol	Osvaldo	Italy	fifa11
Spain	Espanyol	Alvarez	Argentina	fifa11
Spain	Espanyol	Chica	Spain	fifa11
Spain	Espanyol	Verdu	Spain	fifa11
Spain	Espanyol	Vazquez	Spain	fifa11
Spain	Espanyol	Marquez	Spain	fifa11
Spain	Espanyol	Silva	Brazil	fifa11
Spain	Espanyol	Vila	Spain	fifa11
Spain	Espanyol	Sanchez	Spain	fifa11
Spain	Espanyol	Callejon	Spain	fifa11
Spain	Almeria	Alves	Brazil	fifa11
Spain	Almeria	Michel	Brazil	fifa11
Spain	Almeria	M. Silva	Uruguay	fifa11
Spain	Almeria	Pellerano	Argentina	fifa11
Spain	Almeria	Jakobsen	Denmark	fifa11
Spain	Almeria	Vargas	Colombia	fifa11
Spain	Almeria	Ortiz	Spain	fifa11
Spain	Almeria	Corona	Spain	fifa11
Spain	Almeria	Crusat	Spain	fifa11
Spain	Almeria	Uche	Nigeria	fifa11
Spain	Almeria	Piatti	Argentina	fifa11
Spain	Almeria	Esteban	Spain	fifa11
Spain	Almeria	C. Garcia	Spain	fifa11
Spain	Almeria	Acasiete	Peru	fifa11
Spain	Almeria	Soriano	Italy	fifa11
Spain	Almeria	Nieto	Spain	fifa11
Spain	Almeria	Goitom	Sweden	fifa11
Spain	Almeria	Ulloa	Argentina	fifa11
Spain	Almeria	M'Bami	Zimbabwe	fifa11
Spain	Almeria	Bernardello	Argentina	fifa11
Spain	Racing	Tono	Spain	fifa11
Spain	Racing	Francis	Spain	fifa11
Spain	Racing	Henrique	Brazil	fifa11
Spain	Racing	Torrejon	Spain	fifa11
Spain	Racing	Cisma	Spain	fifa11
Spain	Racing	Munitis	Spain	fifa11
Spain	Racing	Lacen	Algeria	fifa11
Spain	Racing	Colsa	Spain	fifa11
Spain	Racing	Serrano	Spain	fifa11
Spain	Racing	Bakircioglu	Sweden	manual-audit
Spain	Racing	Rosenberg	Sweden	fifa11
Spain	Racing	Coltorti	Switzerland	fifa11
Spain	Racing	Pinillos	Spain	fifa11
Spain	Racing	Osmar	Spain	fifa11
Spain	Racing	Adrian	Spain	fifa11
Spain	Racing	Arana	Spain	fifa11
Spain	Racing	Diop	Senegal	fifa11
Spain	Racing	Bolado	Spain	fifa11
Spain	Racing	Cristian	Spain	fifa11
Spain	Racing	Nahuelpan	Argentina	fifa11
Spain	Ath. Bilbao	Iraizoz	Spain	fifa11
Spain	Ath. Bilbao	Iraola	Spain	fifa11
Spain	Ath. Bilbao	Amorebieta	Spain	fifa11
Spain	Ath. Bilbao	Ocio	Spain	fifa11
Spain	Ath. Bilbao	Castillo	Spain	fifa11
Spain	Ath. Bilbao	Muniain	Spain	fifa11
Spain	Ath. Bilbao	Martinez	Uruguay	fifa11
Spain	Ath. Bilbao	Orbaiz	Spain	fifa11
Spain	Ath. Bilbao	Gurpegui	Spain	manual-audit
Spain	Ath. Bilbao	Toquero	Spain	fifa11
Spain	Ath. Bilbao	Llorente	Spain	fifa11
Spain	Ath. Bilbao	R. Fernandez	France	fifa11
Spain	Ath. Bilbao	Koikili	Spain	fifa11
Spain	Ath. Bilbao	Ustaritz	Spain	fifa11
Spain	Ath. Bilbao	Susaeta	Spain	fifa11
Spain	Ath. Bilbao	Jose	Spain	fifa11
Spain	Ath. Bilbao	Gabilondo	Spain	fifa11
Spain	Ath. Bilbao	De Marcos	Spain	fifa11
Spain	Ath. Bilbao	Gomez	Argentina	fifa11
Spain	Ath. Bilbao	Lopez	Spain	fifa11
Spain	Sporting	Pablo	Spain	fifa11
Spain	Sporting	Lora	Spain	fifa11
Spain	Sporting	Botia	Spain	fifa11
Spain	Sporting	Gregory	France	fifa11
Spain	Sporting	Canella	Spain	fifa11
Spain	Sporting	Cases	Spain	manual-audit
Spain	Sporting	Eguren	Uruguay	fifa11
Spain	Sporting	Ayoze	Spain	fifa11
Spain	Sporting	C. Castro	Spain	fifa11
Spain	Sporting	Carmelo	Spain	fifa11
Spain	Sporting	Novo	Spain	fifa11
Spain	Sporting	Cuellar	Spain	fifa11
Spain	Sporting	Gerard	Spain	fifa11
Spain	Sporting	Angel	Spain	fifa11
Spain	Sporting	Bilic	Croatia	fifa11
Spain	Sporting	Barral	Spain	fifa11
Spain	Sporting	Pedro	Portugal	fifa11
Spain	Sporting	A. Castro	Spain	fifa11
Spain	Sporting	Moran	Spain	fifa11
Spain	Sporting	Maldonado	Spain	fifa11
Spain	Osasuna	Ricardo	Spain	fifa11
Spain	Osasuna	Echaide	Spain	fifa11
Spain	Osasuna	Nelson	Portugal	fifa11
Spain	Osasuna	S. Fernandez	Spain	fifa11
Spain	Osasuna	Monreal	Spain	fifa11
Spain	Osasuna	Nekounam	Iran	fifa11
Spain	Osasuna	Punal	Spain	fifa11
Spain	Osasuna	Masoud	Iran	fifa11
Spain	Osasuna	Juanfran	Spain	fifa11
Spain	Osasuna	Aranda	Spain	fifa11
Spain	Osasuna	Pandiani	Uruguay	fifa11
Spain	Osasuna	Riesgo	Spain	fifa11
Spain	Osasuna	Flano	Spain	fifa11
Spain	Osasuna	Oier	Spain	fifa11
Spain	Osasuna	Vadocz	Hungary	fifa11
Spain	Osasuna	Sola	Spain	fifa11
Spain	Osasuna	Lolo	Spain	fifa11
Spain	Osasuna	Ruper	Spain	fifa11
Spain	Osasuna	Lekic	Serbia	fifa11
Spain	Osasuna	Camunas	Spain	fifa11
Spain	Levante	Reina	Spain	fifa11
Spain	Levante	Cerra	Spain	fifa11
Spain	Levante	Ballesteros	Spain	fifa11
Spain	Levante	Nano	Spain	fifa11
Spain	Levante	Juanfran	Spain	fifa11
Spain	Levante	Pallardo	Spain	fifa11
Spain	Levante	Nadal	Spain	fifa11
Spain	Levante	Suarez	Spain	fifa11
Spain	Levante	Juanlu	Spain	fifa11
Spain	Levante	Ruben	Argentina	fifa11
Spain	Levante	Caicedo	Ecuador	fifa11
Spain	Levante	Mora	Ecuador	fifa11
Spain	Levante	Jorda	Spain	fifa11
Spain	Levante	Mossa	Portugal	fifa11
Spain	Levante	Pena	Spain	fifa11
Spain	Levante	Sergio	Spain	fifa11
Spain	Levante	Angel	Spain	fifa11
Spain	Levante	Rodas	Spain	fifa11
Spain	Levante	Del Horno	Spain	fifa11
Spain	Levante	Larrea	Spain	fifa11
Spain	Getafe	Codina	Spain	fifa11
Spain	Getafe	Torres	Spain	fifa11
Spain	Getafe	Parejo	Spain	fifa11
Spain	Getafe	Rafa	Spain	fifa11
Spain	Getafe	Mane	Spain	fifa11
Spain	Getafe	Boateng	Ghana	fifa11
Spain	Getafe	Casquero	Spain	fifa11
Spain	Getafe	Diaz	Argentina	fifa11
Spain	Getafe	Arizmendi	Spain	fifa11
Spain	Getafe	Colunga	Spain	fifa11
Spain	Getafe	Manu	Spain	fifa11
Spain	Getafe	Ustari	Argentina	fifa11
Spain	Getafe	Mario	Spain	fifa11
Spain	Getafe	Marcano	Spain	fifa11
Spain	Getafe	Sanchez	Spain	fifa11
Spain	Getafe	Rios	Spain	fifa11
Spain	Getafe	Gavilan	Spain	fifa11
Spain	Getafe	Albin	Uruguay	fifa11
Spain	Getafe	Miku	Venezuela	fifa11
Spain	R. Sociedad	Bravo	Chile	fifa11
Spain	R. Sociedad	Gonzalez	Uruguay	fifa11
Spain	R. Sociedad	De la Bella	Spain	fifa11
Spain	R. Sociedad	Martinez	Mexico	fifa11
Spain	R. Sociedad	Ansotegi	Spain	fifa11
Spain	R. Sociedad	Rivas	Argentina	fifa11
Spain	R. Sociedad	Aranburu	Spain	fifa11
Spain	R. Sociedad	Xabi Prieto	Spain	fifa11
Spain	R. Sociedad	Griezmann	France	fifa11
Spain	R. Sociedad	Tamudo	Spain	fifa11
Spain	R. Sociedad	Llorente	Spain	fifa11
Spain	R. Sociedad	Zubikarai	Spain	fifa11
Spain	R. Sociedad	Elustondo	Brazil	fifa11
Spain	R. Sociedad	Demidov	Norway	fifa11
Spain	R. Sociedad	Illarramendi	Spain	fifa11
Spain	R. Sociedad	Estrada	Chile	fifa11
Spain	R. Sociedad	Bergara	Spain	fifa11
Spain	R. Sociedad	Zurutuza	France	fifa11
Spain	R. Sociedad	Agirretxe	Spain	fifa11
Spain	R. Sociedad	Ifran	Uruguay	fifa11
Spain	Zaragoza	Franco	Argentina	fifa11
Spain	Zaragoza	Ponzio	Argentina	fifa11
Spain	Zaragoza	Contini	Italy	fifa11
Spain	Zaragoza	Jarosik	Czech Republic	fifa11
Spain	Zaragoza	Edmilson	Brazil	fifa11
Spain	Zaragoza	Herrera	Spain	fifa11
Spain	Zaragoza	N'Daw	Senegal	manual-audit
Spain	Zaragoza	Braulio	Spain	fifa11
Spain	Zaragoza	Uche	Nigeria	fifa11
Spain	Zaragoza	Sinama-Pongolle	France	fifa11
Spain	Zaragoza	Roberto	Spain	fifa11
Spain	Zaragoza	Diogo	Uruguay	fifa11
Spain	Zaragoza	Lanzaro	Italy	fifa11
Spain	Zaragoza	Paredes	Spain	fifa11
Spain	Zaragoza	Lafita	Spain	fifa11
Spain	Zaragoza	Obradovic	Serbia	fifa11
Spain	Zaragoza	Bertolo	Argentina	fifa11
Spain	Zaragoza	Lacruz	Spain	fifa11
Spain	Zaragoza	Gabi	Spain	fifa11
Spain	Hercules	Calatayud	Spain	fifa11
Spain	Hercules	Juanra	Spain	fifa11
Spain	Hercules	Sarr	Senegal	fifa11
Spain	Hercules	Pena	Spain	fifa11
Spain	Hercules	Farinos	Spain	fifa11
Spain	Hercules	Gomes	Portugal	fifa11
Spain	Hercules	Aguilar	Colombia	fifa11
Spain	Hercules	Rufete	Spain	fifa11
Spain	Hercules	K. Femenia	Spain	manual-audit
Spain	Hercules	Fritzler	Argentina	fifa11
Spain	Hercules	Alba	Spain	fifa11
Spain	Hercules	Cortes	Spain	fifa11
Spain	Hercules	Trezeguet	France	fifa11
Spain	Hercules	A. Paz	Spain	fifa11
Spain	Hercules	Tote	Spain	fifa11
Spain	Hercules	Sendoa	Spain	fifa11
Spain	Hercules	Drenthe	Netherlands	fifa11
Spain	Hercules	Valdez	Paraguay	fifa11
Spain	Hercules	Portillo	Spain	fifa11
Spain	Barcelona	Fontas	Spain	fifa11
Spain	Barcelona	J. dos Santos	Mexico	fifa11
Spain	Barcelona	Bartra	Spain	fifa11
Spain	Real Madrid	Granero	Spain	fifa11
Spain	Real Madrid	Gago	Argentina	fifa11
Spain	Real Madrid	M. Diarra	Mali	fifa11
Spain	Real Madrid	Adan	Spain	fifa11
Spain	Real Madrid	Mateos	Spain	fifa11
Spain	Sevilla	Alexis	Spain	fifa11
Spain	Sevilla	Acosta	Argentina	fifa11
Spain	Sevilla	Alfaro	Spain	fifa11
Spain	Sevilla	Luna	Spain	fifa11
Spain	Atl. Madrid	Raul Garcia	Spain	fifa11
Spain	Atl. Madrid	Fran Merida	Spain	fifa11
Spain	Atl. Madrid	Juanito	Spain	fifa11
Spain	Atl. Madrid	Joel	Spain	fifa11
Spain	Villarreal	Altidore	United States	fifa11
Spain	Villarreal	J. Oriol	Spain	fifa11
Spain	Villarreal	Juan Carlos	Spain	fifa11
Spain	Valencia	Stankevicius	Lithuania	fifa11
Spain	Valencia	D. Navarro	Spain	fifa11
Spain	Valencia	M. Fernandes	Portugal	fifa11
Spain	Valencia	Isco	Spain	fifa11
Spain	Valencia	Paco Alcacer	Spain	fifa11
Spain	Deportivo	Manuel Pablo	Spain	fifa11
Spain	Deportivo	Laure	Spain	fifa11
Spain	Deportivo	Ze Castro	Portugal	fifa11
Spain	Deportivo	J. Dominguez	Spain	fifa11
Spain	Malaga	Galatto	Brazil	fifa11
Spain	Malaga	Ruben	Spain	fifa11
Spain	Malaga	Juanmi	Spain	manual-audit
Spain	Malaga	Recio	Mexico	fifa11
Spain	Malaga	Portillo	Spain	fifa11
Spain	Malaga	Duda	Portugal	fifa11
Spain	Mallorca	Cendros	Spain	fifa11
Spain	Mallorca	Pereira	France	fifa11
Spain	Mallorca	Pina	Spain	fifa11
Spain	Mallorca	Joao Victor	Brazil	fifa11
Spain	Espanyol	C. Alvarez	Argentina	fifa11
Spain	Espanyol	Javi Lopez	Spain	fifa11
Spain	Espanyol	Duscher	Argentina	fifa11
Spain	Espanyol	Datolo	Argentina	fifa11
Spain	Almeria	Juanito	Spain	fifa11
Spain	Almeria	Luna	Argentina	fifa11
Spain	Almeria	Diego Garcia	Spain	fifa11
Spain	Racing	Tziolis	Greece	fifa11
Spain	Racing	Waldo Ponce	Chile	fifa11
Spain	Racing	M. Fernandez	Spain	fifa11
Spain	Racing	Ramon Arcas	Spain	manual-audit
Spain	Ath. Bilbao	San Jose	Spain	fifa11
Spain	Ath. Bilbao	Iturraspe	Spain	fifa11
Spain	Ath. Bilbao	Aurtenetxe	Spain	fifa11
Spain	Ath. Bilbao	I. Perez	Spain	fifa11
Spain	Sporting	Rivera	Spain	fifa11
Spain	Sporting	Sangoy	Argentina	fifa11
Spain	Sporting	Jorge Garcia	Argentina	fifa11
Spain	Osasuna	Damia	Spain	fifa11
Spain	Osasuna	Calleja	Spain	fifa11
Spain	Osasuna	Annunziata	Spain	fifa11
Spain	Levante	Robuste	Spain	fifa11
Spain	Levante	Javi Venta	Spain	fifa11
Spain	Levante	Stuani	Uruguay	fifa11
Spain	Levante	Xisco	Spain	fifa11
Spain	Getafe	Victor Sanchez	Spain	fifa11
Spain	Getafe	Mosquera	Spain	fifa11
Spain	Getafe	Sardinero	Spain	fifa11
Spain	R. Sociedad	Sarpong	Netherlands	fifa11
Spain	R. Sociedad	Carlos Martinez	Spain	fifa11
Spain	R. Sociedad	Viguera	Spain	fifa11
Spain	Zaragoza	Doblas	Spain	fifa11
Spain	Zaragoza	Jorge Lopez	Spain	fifa11
Spain	Zaragoza	P. da Silva	Mexico	fifa11
Spain	Zaragoza	Boutahar	Morocco	manual-audit
Spain	Hercules	Pulhac	Romania	fifa11
Spain	Hercules	Pamarot	France	fifa11
Spain	Hercules	Velthuizen	Netherlands	fifa11
Spain	Hercules	Thomert	France	fifa11
Italy	Inter	Cesar	Brazil	fifa11
Italy	Inter	Maicon	Brazil	fifa11
Italy	Inter	Samuel	Argentina	fifa11
Italy	Inter	Lucio	Brazil	fifa11
Italy	Inter	Chivu	Romania	fifa11
Italy	Inter	Zanetti	Argentina	fifa11
Italy	Inter	Cambiasso	Brazil	fifa11
Italy	Inter	Sneijder	Netherlands	fifa11
Italy	Inter	Eto'o	Brazil	fifa11
Italy	Inter	Milito	Argentina	fifa11
Italy	Inter	Coutinho	Brazil	fifa11
Italy	Inter	Stankovic	Serbia	fifa11
Italy	Inter	Castellazzi	Italy	fifa11
Italy	Inter	Materazzi	Italy	fifa11
Italy	Inter	Cordoba	Colombia	fifa11
Italy	Inter	Santon	Italy	fifa11
Italy	Inter	Motta	Brazil	fifa11
Italy	Inter	Mariga	Kenya	fifa11
Italy	Inter	Pandev	North Macedonia	fifa11
Italy	Inter	Biabiany	France	fifa11
Italy	Roma	Doni	Brazil	fifa11
Italy	Roma	Burdisso	Argentina	fifa11
Italy	Roma	Mexes	France	fifa11
Italy	Roma	Juan	Brazil	fifa11
Italy	Roma	Riise	Norway	fifa11
Italy	Roma	Pizarro	Chile	fifa11
Italy	Roma	De Rossi	Italy	fifa11
Italy	Roma	Taddei	Brazil	fifa11
Italy	Roma	Vucinic	Montenegro	fifa11
Italy	Roma	Totti	Italy	fifa11
Italy	Roma	Menez	France	fifa11
Italy	Roma	Lobont	Romania	fifa11
Italy	Roma	Castellini	Italy	fifa11
Italy	Roma	Simplicio	Brazil	fifa11
Italy	Roma	Borriello	Italy	fifa11
Italy	Roma	Perrotta	Italy	fifa11
Italy	Roma	Adriano	Brazil	fifa11
Italy	Roma	Brighi	Italy	fifa11
Italy	Roma	Cicinho	Brazil	fifa11
Italy	Milan	Amelia	Italy	fifa11
Italy	Milan	Zambrotta	Italy	fifa11
Italy	Milan	Nesta	Italy	fifa11
Italy	Milan	Yepes	Colombia	fifa11
Italy	Milan	Boateng	Ghana	fifa11
Italy	Milan	Pirlo	Italy	fifa11
Italy	Milan	Gattuso	Italy	fifa11
Italy	Milan	Ambrosini	Italy	fifa11
Italy	Milan	Ronaldinho	Brazil	fifa11
Italy	Milan	Ibrahimovic	Sweden	fifa11
Italy	Milan	Pato	Brazil	fifa11
Italy	Milan	Robinho	Brazil	fifa11
Italy	Milan	Abbiati	Italy	fifa11
Italy	Milan	Silva	Brazil	fifa11
Italy	Milan	Antonini	Italy	fifa11
Italy	Milan	Abate	Italy	fifa11
Italy	Milan	Flamini	France	fifa11
Italy	Milan	Bonera	Italy	fifa11
Italy	Milan	Seedorf	Netherlands	fifa11
Italy	Milan	Inzaghi	Italy	fifa11
Italy	Sampdoria	Curci	Italy	fifa11
Italy	Sampdoria	Lucchini	Italy	fifa11
Italy	Sampdoria	Gastaldello	Italy	fifa11
Italy	Sampdoria	Guberti	Italy	fifa11
Italy	Sampdoria	Palombo	Italy	fifa11
Italy	Sampdoria	Semioli	Italy	fifa11
Italy	Sampdoria	Pozzi	Italy	fifa11
Italy	Sampdoria	Mannini	Italy	fifa11
Italy	Sampdoria	Cassano	Italy	fifa11
Italy	Sampdoria	Pazzini	Italy	fifa11
Italy	Sampdoria	Fiorillo	Italy	fifa11
Italy	Sampdoria	Regini	Italy	manual-audit
Italy	Sampdoria	Rossi	Italy	fifa11
Italy	Sampdoria	Poli	Italy	fifa11
Italy	Sampdoria	Ziegler	Switzerland	fifa11
Italy	Sampdoria	Marilungo	Italy	fifa11
Italy	Sampdoria	Cacciatore	Italy	fifa11
Italy	Sampdoria	Tissone	Argentina	fifa11
Italy	Sampdoria	Dessena	Italy	fifa11
Italy	Palermo	Benussi	Italy	fifa11
Italy	Palermo	Balzaretti	Italy	fifa11
Italy	Palermo	Bovo	Italy	fifa11
Italy	Palermo	Goian	Romania	fifa11
Italy	Palermo	Cassani	Italy	fifa11
Italy	Palermo	Migliaccio	Italy	fifa11
Italy	Palermo	Nocerino	Italy	fifa11
Italy	Palermo	Ilicic	Slovenia	fifa11
Italy	Palermo	Pastore	Argentina	fifa11
Italy	Palermo	Maccarone	Italy	fifa11
Italy	Palermo	Miccoli	Italy	fifa11
Italy	Palermo	Sirigu	Italy	fifa11
Italy	Palermo	Munoz	Argentina	fifa11
Italy	Palermo	Raggi	Italy	fifa11
Italy	Palermo	Kasami	Switzerland	fifa11
Italy	Palermo	Bacinovic	Slovenia	fifa11
Italy	Palermo	Hernandez	Uruguay	fifa11
Italy	Palermo	Mchedlidze	Georgia	fifa11
Italy	Palermo	Pinilla	Chile	fifa11
Italy	Palermo	Darmian	Italy	fifa11
Italy	Napoli	De Sanctis	Italy	fifa11
Italy	Napoli	Aronica	Italy	fifa11
Italy	Napoli	Cannavaro	Italy	fifa11
Italy	Napoli	Campagnaro	Argentina	fifa11
Italy	Napoli	Zuniga	Colombia	fifa11
Italy	Napoli	Gargano	Uruguay	fifa11
Italy	Napoli	Yebda	Algeria	fifa11
Italy	Napoli	Hamsik	Slovakia	fifa11
Italy	Napoli	Maggio	Italy	fifa11
Italy	Napoli	Cavani	Uruguay	fifa11
Italy	Napoli	Lavezzi	Argentina	fifa11
Italy	Napoli	Iezzo	Italy	fifa11
Italy	Napoli	Santacroce	Italy	fifa11
Italy	Napoli	Grava	Italy	fifa11
Italy	Napoli	Sosa	Argentina	fifa11
Italy	Napoli	Cribari	Brazil	fifa11
Italy	Napoli	Pazienza	Italy	fifa11
Italy	Napoli	Dossena	Italy	fifa11
Italy	Napoli	Lucarelli	Italy	fifa11
Italy	Napoli	Dumitru	Italy	manual-audit
Italy	Juventus	Buffon	Italy	fifa11
Italy	Juventus	Grosso	Italy	fifa11
Italy	Juventus	Chiellini	Italy	fifa11
Italy	Juventus	Bonucci	Italy	fifa11
Italy	Juventus	De Ceglie	Italy	fifa11
Italy	Juventus	Aquilani	Italy	fifa11
Italy	Juventus	Krasic	Serbia	fifa11
Italy	Juventus	Melo	Brazil	fifa11
Italy	Juventus	Quagliarella	Italy	fifa11
Italy	Juventus	Pepe	Italy	fifa11
Italy	Juventus	Amauri	Italy	fifa11
Italy	Juventus	Storari	Italy	fifa11
Italy	Juventus	Grygera	Czech Republic	fifa11
Italy	Juventus	Martinez	Uruguay	fifa11
Italy	Juventus	Lanzafame	Italy	fifa11
Italy	Juventus	Motta	Italy	fifa11
Italy	Juventus	Salihamidzic	Bosnia & Herzegovina	fifa11
Italy	Juventus	Del Piero	Italy	fifa11
Italy	Juventus	Iaquinta	Italy	fifa11
Italy	Juventus	Sissoko	Mali	fifa11
Italy	Parma	Pavarini	Italy	fifa11
Italy	Parma	Dellafiore	Italy	fifa11
Italy	Parma	Paci	Italy	fifa11
Italy	Parma	Zenoni	Italy	manual-audit
Italy	Parma	Morrone	Italy	fifa11
Italy	Parma	Giovinco	Italy	fifa11
Italy	Parma	Galloppa	Italy	fifa11
Italy	Parma	Bojinov	Bulgaria	fifa11
Italy	Parma	Paloschi	Italy	fifa11
Italy	Parma	Mirante	Italy	fifa11
Italy	Parma	Gobbi	Italy	fifa11
Italy	Parma	Paletta	Argentina	fifa11
Italy	Parma	Antonelli	Italy	fifa11
Italy	Parma	Candreva	Italy	fifa11
Italy	Parma	Marques	Spain	fifa11
Italy	Parma	Leonardi	Italy	manual-audit
Italy	Parma	Crespo	Argentina	fifa11
Italy	Genoa	Eduardo	Portugal	fifa11
Italy	Genoa	Rafinha	Brazil	fifa11
Italy	Genoa	Dainelli	Italy	fifa11
Italy	Genoa	Ferrari	Argentina	fifa11
Italy	Genoa	Moretti	Italy	fifa11
Italy	Genoa	Kharja	Morocco	fifa11
Italy	Genoa	Chico	Spain	fifa11
Italy	Genoa	Juric	Sweden	fifa11
Italy	Genoa	Jankovic	Serbia	fifa11
Italy	Genoa	Palacio	Argentina	fifa11
Italy	Genoa	Toni	Italy	fifa11
Italy	Genoa	Scarpi	Italy	fifa11
Italy	Genoa	Criscito	Italy	fifa11
Italy	Genoa	Sculli	Italy	fifa11
Italy	Genoa	Modesto	Italy	fifa11
Italy	Genoa	Jovanovic	Serbia	fifa11
Italy	Genoa	Milanetto	Italy	fifa11
Italy	Genoa	Veloso	Portugal	fifa11
Italy	Genoa	Alessio	Brazil	fifa11
Italy	Genoa	Mesto	Italy	fifa11
Italy	Bari	Gillet	Belgium	fifa11
Italy	Bari	Masiello	Italy	fifa11
Italy	Bari	Stellini	Italy	fifa11
Italy	Bari	Raggi	Italy	fifa11
Italy	Bari	Parisi	Italy	fifa11
Italy	Bari	Donati	Italy	fifa11
Italy	Bari	Gazzi	Italy	fifa11
Italy	Bari	Alvarez	El Salvador	fifa11
Italy	Bari	Almiron	Argentina	fifa11
Italy	Bari	Barreto	Brazil	fifa11
Italy	Bari	Ghezzal	Algeria	fifa11
Italy	Bari	Fontana	Italy	fifa11
Italy	Bari	Esposito	Italy	fifa11
Italy	Bari	Belmonte	Italy	fifa11
Italy	Bari	Colombo	Italy	fifa11
Italy	Bari	Rudolf	Hungary	fifa11
Italy	Bari	Kutuzov	Belarus	fifa11
Italy	Bari	Rivas	Argentina	fifa11
Italy	Bari	Rajcic	Croatia	manual-audit
Italy	Bari	Visconti	Italy	fifa11
Italy	Fiorentina	Frey	France	fifa11
Italy	Fiorentina	Comotto	Italy	fifa11
Italy	Fiorentina	Gamberini	Italy	fifa11
Italy	Fiorentina	Natali	Italy	fifa11
Italy	Fiorentina	Vargas	Peru	fifa11
Italy	Fiorentina	Marchionni	Italy	fifa11
Italy	Fiorentina	Jovetic	Montenegro	fifa11
Italy	Fiorentina	Santana	Argentina	fifa11
Italy	Fiorentina	Montolivo	Italy	fifa11
Italy	Fiorentina	Ljajic	Serbia	fifa11
Italy	Fiorentina	Gilardino	Italy	fifa11
Italy	Fiorentina	Boruc	Poland	fifa11
Italy	Fiorentina	Donadel	Italy	fifa11
Italy	Fiorentina	De Silvestri	Italy	fifa11
Italy	Fiorentina	Pasqual	Italy	fifa11
Italy	Fiorentina	Avramov	Serbia	fifa11
Italy	Fiorentina	D'Agostino	Brazil	fifa11
Italy	Fiorentina	Babacar	Senegal	fifa11
Italy	Fiorentina	Cerci	Italy	fifa11
Italy	Lazio	Muslera	Uruguay	fifa11
Italy	Lazio	Scaloni	Argentina	fifa11
Italy	Lazio	Lichtsteiner	Switzerland	fifa11
Italy	Lazio	Diakite	France	fifa11
Italy	Lazio	Biava	Italy	fifa11
Italy	Lazio	Garrido	Spain	fifa11
Italy	Lazio	Brocchi	Italy	fifa11
Italy	Lazio	Ledesma	Argentina	fifa11
Italy	Lazio	Hernanes	Brazil	fifa11
Italy	Lazio	Zarate	Argentina	fifa11
