league	club	player	nationality	source
England	Liverpool	Gerrard	England	fifa11
England	Liverpool	Jovanovic	Serbia	fifa11
England	Liverpool	Torres	Spain	fifa11
England	Liverpool	Kuyt	Netherlands	fifa11
England	Liverpool	B. Jones	Australia	fifa11
England	Liverpool	Kyrgiakos	Greece	fifa11
England	Liverpool	Aurelio	Brazil	fifa11
England	Liverpool	Lucas	Brazil	fifa11
England	Liverpool	J. Cole	England	fifa11
England	Liverpool	Babel	Netherlands	fifa11
England	Liverpool	N'Gog	France	manual-audit
England	Liverpool	Rodriguez	Argentina	fifa11
England	Liverpool	Shelvey	England	fifa11
England	Everton	Howard	United States	fifa11
England	Everton	Hibbert	England	fifa11
England	Everton	Anichebe	Nigeria	fifa11
England	Everton	Coleman	Republic of Ireland	fifa11
England	Everton	Baines	England	fifa11
England	Everton	Fellaini	Belgium	fifa11
England	Everton	Arteta	Spain	fifa11
England	Everton	Neville	England	fifa11
England	Everton	Osman	England	fifa11
England	Everton	Cahill	Australia	fifa11
England	Everton	Saha	France	fifa11
England	Everton	Mucha	Slovakia	fifa11
England	Everton	Bilyaletdinov	Russia	fifa11
England	Everton	Distin	France	fifa11
England	Everton	Jagielka	England	fifa11
England	Everton	Heitinga	Netherlands	fifa11
England	Everton	Pienaar	South Africa	fifa11
England	Everton	Rodwell	England	fifa11
England	Everton	Beckford	England	fifa11
England	Everton	Yakubu	Nigeria	fifa11
England	Birmingham	Foster	England	fifa11
England	Birmingham	Carr	Republic of Ireland	fifa11
England	Birmingham	R. Johnson	England	fifa11
England	Birmingham	Parnaby	England	fifa11
England	Birmingham	Larsson	Sweden	fifa11
England	Birmingham	Dann	England	fifa11
England	Birmingham	Bowyer	England	fifa11
England	Birmingham	Ferguson	South Korea	fifa11
England	Birmingham	McFadden	Scotland	fifa11
England	Birmingham	Jerome	England	fifa11
England	Birmingham	Zigic	Serbia	fifa11
England	Birmingham	Doyle	Republic of Ireland	fifa11
England	Birmingham	Ridgewell	England	fifa11
England	Birmingham	Hleb	Belarus	fifa11
England	Birmingham	Beausejour	Chile	fifa11
