resource	club	source	status
fr4.png	Lille	France/lille-losc.png	explicit supplied mapping
fr5.png	Montpellier	France/montpellier-hsc.png	explicit supplied mapping
fr6.png	Bordeaux	France/girondins-bordeaux.png	explicit supplied mapping
fr7.png	Lorient	France/fc-lorient.png	explicit supplied mapping
fr8.png	Monaco	France/as-monaco.png	explicit supplied mapping
fr9.png	Rennes	France/stade-rennais.png	explicit supplied mapping
fr10.png	Valenciennes	France/valenciennes-fc.png	explicit supplied mapping
fr11.png	Lens	France/rc-lens.png	explicit supplied mapping
fr12.png	Nancy	France/as-nancy-lorraine.png	explicit supplied mapping
fr13.png	Paris SG	France/paris-saint-germain.png	explicit supplied mapping
fr14.png	Toulouse	France/toulouse-fc.png	explicit supplied mapping
fr15.png	Nice	France/ogc-nice.png	explicit supplied mapping
fr16.png	Sochaux	France/sochaux-montbeliard.png	explicit supplied mapping
fr17.png	St-Etienne	France/as-saint-etienne.png	explicit supplied mapping
fr18.png	Caen	France/sm-caen.png	explicit supplied mapping
fr19.png	Brest	France/stade-brestois.png	explicit supplied mapping
fr20.png	Arles	France/ac-arlesien.png	explicit supplied mapping
in1.png	International 1	[bundled original]	not a domestic league
in2.png	International 2	[bundled original]	not a domestic league
in3.png	International 3	[bundled original]	not a domestic league
in4.png	International 4	[bundled original]	not a domestic league
in5.png	International 5	[bundled original]	not a domestic league
in6.png	International 6	[bundled original]	not a domestic league
in7.png	International 7	[bundled original]	not a domestic league
in8.png	International 8	[bundled original]	not a domestic league
in9.png	International 9	[bundled original]	not a domestic league
in10.png	International 10	[bundled original]	not a domestic league
in11.png	International 11	[bundled original]	not a domestic league
in12.png	International 12	[bundled original]	not a domestic league
in13.png	International 13	[bundled original]	not a domestic league
in14.png	International 14	[bundled original]	not a domestic league
in15.png	International 15	[bundled original]	not a domestic league
in16.png	International 16	[bundled original]	not a domestic league
in17.png	International 17	[bundled original]	not a domestic league
in18.png	International 18	[bundled original]	not a domestic league
in19.png	International 19	[bundled original]	not a domestic league
in20.png	International 20	[bundled original]	not a domestic league
