club_id	player	identity_key	position	dob	appearances	source_url
eu_romania_fc-timisoara	Costel Pantilimon	costelpantilimon	GK	01.02.1987		https://www.romaniansoccer.ro/clubs/politehnica_aek_timisoara/timisoara_fc_2010_11.shtml
eu_romania_fc-timisoara	Pedro Taborda	pedrotaborda	GK	22.06.1978		https://www.romaniansoccer.ro/clubs/politehnica_aek_timisoara/timisoara_fc_2010_11.shtml
eu_romania_fc-timisoara	László Sepsi	laszlosepsi	DEF	07.06.1986		https://www.romaniansoccer.ro/clubs/politehnica_aek_timisoara/timisoara_fc_2010_11.shtml
eu_romania_fc-timisoara	Alexandru Bourceanu	alexandrubourceanu	MID	24.04.1985		https://www.romaniansoccer.ro/clubs/politehnica_aek_timisoara/timisoara_fc_2010_11.shtml
eu_romania_fc-timisoara	Iulian Tameș	iuliantames	MID	06.12.1978		https://www.romaniansoccer.ro/clubs/politehnica_aek_timisoara/timisoara_fc_2010_11.shtml
eu_romania_fc-timisoara	Mircea Axente	mirceaaxente	ATT	14.03.1987		https://www.romaniansoccer.ro/clubs/politehnica_aek_timisoara/timisoara_fc_2010_11.shtml
eu_romania_fc-timisoara	Dorin Goga	doringoga	ATT	02.07.1984		https://www.romaniansoccer.ro/clubs/politehnica_aek_timisoara/timisoara_fc_2010_11.shtml
eu_romania_fc-timisoara	Ianis Zicu	ianiszicu	ATT	23.10.1983		https://www.romaniansoccer.ro/clubs/politehnica_aek_timisoara/timisoara_fc_2010_11.shtml
